epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.044,2.2444,3.45856,2.02703,0.01119,0.25,0.04226,0.01399,2.44946,3.54251,1.99297,0.00040008,0.00040008,0.00040008
2,227.859,2.21227,3.28365,1.91642,0.00884,0.28571,0.02792,0.00811,2.56014,3.52131,2.14371,0.000808743,0.000808743,0.000808743
3,276.99,2.15735,3.02259,1.8493,0.01076,0.33333,0.05053,0.01675,2.47352,3.20143,2.06625,0.00120916,0.00120916,0.00120916
4,344.963,2.16766,2.82712,1.89424,0.57318,0.06548,0.03159,0.0092,2.62057,3.04316,2.17056,0.00160132,0.00160132,0.00160132
5,410.956,2.20769,2.75393,1.94196,0.10628,0.11607,0.04135,0.01226,2.71038,3.84841,2.24663,0.00160099,0.00160099,0.00160099
6,461.122,2.2509,2.73044,1.92681,0.08921,0.22024,0.05958,0.01904,2.62732,3.52579,2.15443,0.00158448,0.00158448,0.00158448
7,534.535,2.2089,2.63067,1.92465,0.13686,0.1875,0.07371,0.02345,2.58502,3.35573,2.15202,0.00156798,0.00156798,0.00156798
8,591.608,2.17687,2.55276,1.9132,0.12456,0.14286,0.057,0.01563,2.66858,3.43574,2.26479,0.00155148,0.00155148,0.00155148
9,647.378,2.14702,2.62976,1.89684,0.10758,0.18452,0.06774,0.01858,2.66003,3.35782,2.26368,0.00153497,0.00153497,0.00153497
10,710.426,2.07763,2.50465,1.828,0.12289,0.24405,0.0679,0.02133,2.64421,3.16656,2.2449,0.00151847,0.00151847,0.00151847
11,767.322,2.0848,2.57973,1.87021,0.10125,0.22321,0.06386,0.02033,2.62411,3.27453,2.23379,0.00150197,0.00150197,0.00150197
12,825.033,1.99986,2.49256,1.82123,0.22185,0.19643,0.10351,0.03202,2.506,2.85459,2.16536,0.00148546,0.00148546,0.00148546
13,881.982,2.02074,2.4554,1.83379,0.15677,0.18155,0.08798,0.03214,2.49531,2.75226,2.10372,0.00146896,0.00146896,0.00146896
14,945.506,1.98037,2.42654,1.77816,0.15729,0.20166,0.07757,0.02755,2.3961,2.7866,2.01874,0.00145246,0.00145246,0.00145246
15,1002.84,2.07166,2.33244,1.77113,0.1905,0.16964,0.08212,0.02915,2.49608,3.11877,2.12938,0.00143595,0.00143595,0.00143595
16,1065.77,1.99812,2.40965,1.79739,0.12996,0.21131,0.07421,0.02893,2.56095,3.03008,2.2127,0.00141945,0.00141945,0.00141945
17,1120.11,1.98607,2.27431,1.75907,0.12965,0.23214,0.08819,0.0306,2.4422,3.07085,2.12305,0.00140295,0.00140295,0.00140295
18,1180.18,1.98841,2.23277,1.75464,0.2015,0.26488,0.11779,0.03893,2.46578,3.41805,2.09499,0.00138644,0.00138644,0.00138644
19,1246.19,1.9443,2.18412,1.71706,0.1497,0.28869,0.09558,0.02859,2.48682,3.04125,2.05448,0.00136994,0.00136994,0.00136994
20,1307.72,1.92118,2.26463,1.71048,0.16479,0.21131,0.11054,0.03467,2.48801,2.93337,2.07017,0.00135344,0.00135344,0.00135344
21,1365.36,1.92179,2.16639,1.64909,0.20645,0.20108,0.11701,0.04111,2.41096,2.61016,1.99608,0.00133693,0.00133693,0.00133693
22,1429.1,1.93221,2.1699,1.69051,0.18131,0.1994,0.09423,0.03326,2.46606,2.56252,2.05127,0.00132043,0.00132043,0.00132043
23,1495.66,1.88359,2.1978,1.74741,0.16904,0.20238,0.09301,0.03255,2.48545,2.55223,2.06555,0.00130393,0.00130393,0.00130393
24,1560.5,1.8218,2.12292,1.66115,0.1523,0.18452,0.09798,0.03059,2.47731,2.67824,2.06678,0.00128742,0.00128742,0.00128742
25,1624.37,1.88891,2.1238,1.63457,0.31647,0.1369,0.11466,0.03868,2.41932,2.58766,2.01609,0.00127092,0.00127092,0.00127092
26,1688.84,1.93217,2.12298,1.6966,0.1586,0.20536,0.10201,0.0368,2.42206,2.52588,2.04256,0.00125442,0.00125442,0.00125442
27,1754.53,1.81566,2.11784,1.65597,0.18752,0.19345,0.11025,0.04038,2.42012,2.49586,2.03124,0.00123791,0.00123791,0.00123791
28,1820.02,1.85553,2.10008,1.62596,0.22847,0.13988,0.10324,0.03782,2.44283,2.50675,2.02507,0.00122141,0.00122141,0.00122141
29,1883.82,1.86213,2.05454,1.65929,0.16433,0.1875,0.10345,0.03863,2.49487,2.50493,2.03105,0.00120491,0.00120491,0.00120491
30,1955.89,1.83806,2.04627,1.63583,0.14442,0.18452,0.09652,0.03809,2.40065,2.66282,2.04238,0.0011884,0.0011884,0.0011884
31,2022.86,1.88395,2.05217,1.6656,0.17149,0.23214,0.12868,0.04472,2.33782,2.57845,2.04513,0.0011719,0.0011719,0.0011719
32,2086.73,1.81812,2.03241,1.61651,0.1619,0.22024,0.12504,0.04295,2.3761,2.58264,2.04247,0.0011554,0.0011554,0.0011554
33,2142.51,1.79284,2.02332,1.6114,0.20018,0.20536,0.10199,0.04134,2.37121,2.6182,2.03226,0.00113889,0.00113889,0.00113889
34,2206.65,1.84235,1.98398,1.62007,0.18425,0.1994,0.1159,0.04513,2.34769,2.59855,2.00786,0.00112239,0.00112239,0.00112239
35,2269.77,1.85012,2.00391,1.65219,0.19755,0.22481,0.10977,0.03912,2.36332,2.65876,2.01437,0.00110589,0.00110589,0.00110589
36,2333.77,1.73702,1.90244,1.56678,0.18244,0.20238,0.11055,0.04258,2.35706,2.56259,2.00543,0.00108938,0.00108938,0.00108938
37,2395.51,1.74239,1.9556,1.62205,0.24374,0.21429,0.12348,0.04718,2.38391,2.49042,2.03462,0.00107288,0.00107288,0.00107288
38,2459.87,1.73134,1.96543,1.61471,0.21615,0.18452,0.12378,0.05115,2.36238,2.55507,2.03762,0.00105638,0.00105638,0.00105638
39,2526.48,1.75525,1.88762,1.60955,0.18572,0.20155,0.12664,0.04881,2.35551,2.59885,2.01985,0.00103987,0.00103987,0.00103987
40,2595.04,1.70982,1.84344,1.5438,0.2013,0.21714,0.11222,0.04118,2.35263,2.54931,2.03823,0.00102337,0.00102337,0.00102337
41,2664.97,1.75426,1.90897,1.59474,0.22692,0.20833,0.10934,0.03963,2.34854,2.52626,2.03689,0.00100687,0.00100687,0.00100687
42,2737.54,1.78438,1.88066,1.555,0.21373,0.21429,0.11946,0.0482,2.32485,2.54694,2.03264,0.000990365,0.000990365,0.000990365
43,2808.81,1.70302,1.79956,1.55571,0.22992,0.20484,0.12219,0.0492,2.34314,2.5472,2.03197,0.000973861,0.000973861,0.000973861
44,2879.73,1.6798,1.78307,1.51612,0.21266,0.20238,0.10995,0.04334,2.3219,2.50175,1.99711,0.000957358,0.000957358,0.000957358
45,2951.65,1.65988,1.76952,1.51021,0.20883,0.23926,0.12205,0.04507,2.3089,2.52714,1.98073,0.000940855,0.000940855,0.000940855
46,3023.42,1.72081,1.8709,1.53772,0.23112,0.20536,0.122,0.04814,2.23666,2.49451,1.94381,0.000924352,0.000924352,0.000924352
47,3095.39,1.70255,1.79007,1.53237,0.18799,0.1875,0.10396,0.04296,2.27743,2.52297,1.96586,0.000907848,0.000907848,0.000907848
48,3168.01,1.69142,1.8029,1.53447,0.20747,0.24107,0.10263,0.0391,2.3046,2.59165,1.99294,0.000891345,0.000891345,0.000891345
49,3240.42,1.66502,1.75729,1.50584,0.21038,0.21429,0.11104,0.03919,2.34911,2.53685,2.01634,0.000874842,0.000874842,0.000874842
50,3312.86,1.62858,1.7765,1.48913,0.21634,0.22024,0.11279,0.04265,2.36137,2.53479,2.02334,0.000858338,0.000858338,0.000858338
51,3384.85,1.63352,1.71063,1.52646,0.18631,0.1994,0.11938,0.04249,2.37146,2.53176,2.04938,0.000841835,0.000841835,0.000841835
52,3461.65,1.65055,1.72204,1.51768,0.16854,0.21726,0.12227,0.04534,2.35443,2.50943,2.05066,0.000825332,0.000825332,0.000825332
53,3536.19,1.57617,1.75851,1.4898,0.1789,0.20238,0.11417,0.03985,2.34054,2.52489,2.03821,0.000808828,0.000808828,0.000808828
54,3609.47,1.59182,1.67114,1.4643,0.20485,0.22917,0.1069,0.03913,2.34577,2.54363,2.00992,0.000792325,0.000792325,0.000792325
55,3681.99,1.60134,1.69426,1.46892,0.22168,0.1994,0.10595,0.03918,2.35608,2.562,2.00846,0.000775822,0.000775822,0.000775822
56,3754.42,1.62255,1.70303,1.46819,0.17586,0.1994,0.10608,0.0368,2.35492,2.60647,2.01889,0.000759318,0.000759318,0.000759318
57,3827.19,1.55006,1.64687,1.45809,0.3199,0.15171,0.11106,0.03792,2.34671,2.63376,2.01828,0.000742815,0.000742815,0.000742815
58,3899.53,1.60978,1.70739,1.4745,0.26104,0.17979,0.11932,0.04586,2.32224,2.57322,2.00288,0.000726312,0.000726312,0.000726312
59,3972.33,1.61288,1.66986,1.49535,0.2375,0.1994,0.11528,0.04614,2.32208,2.54922,1.99648,0.000709809,0.000709809,0.000709809
60,4044.71,1.56858,1.66703,1.49611,0.20874,0.21131,0.11278,0.04358,2.32006,2.549,2.01148,0.000693305,0.000693305,0.000693305
61,4116.59,1.5491,1.61155,1.44241,0.16995,0.19345,0.11177,0.04142,2.34872,2.56208,2.02107,0.000676802,0.000676802,0.000676802
62,4188.51,1.58229,1.65499,1.47968,0.1619,0.1994,0.10035,0.03588,2.38434,2.57974,2.02962,0.000660299,0.000660299,0.000660299
63,4260.92,1.54273,1.55323,1.43605,0.17015,0.23512,0.1057,0.03685,2.39113,2.54766,2.01785,0.000643795,0.000643795,0.000643795
64,4333.18,1.53904,1.57122,1.41348,0.1951,0.22917,0.10874,0.03834,2.3772,2.52725,2.01037,0.000627292,0.000627292,0.000627292
65,4405.59,1.54297,1.58265,1.45119,0.18005,0.23083,0.10464,0.0402,2.38,2.57748,2.00751,0.000610789,0.000610789,0.000610789
66,4478.09,1.52781,1.57376,1.40442,0.19258,0.24702,0.10686,0.04013,2.36878,2.58514,2.00075,0.000594286,0.000594286,0.000594286
67,4550.76,1.52091,1.54294,1.43534,0.13072,0.19643,0.09412,0.03729,2.34613,2.62409,2.01342,0.000577782,0.000577782,0.000577782
68,4623.02,1.55749,1.52729,1.4271,0.14537,0.23512,0.10223,0.03942,2.32208,2.60568,1.99994,0.000561279,0.000561279,0.000561279
69,4695.17,1.50731,1.55791,1.4367,0.15683,0.30655,0.10892,0.04194,2.33296,2.52652,1.96448,0.000544776,0.000544776,0.000544776
70,4766.67,1.49136,1.47767,1.4007,0.16834,0.27105,0.10435,0.04097,2.33182,2.55495,2.00193,0.000528272,0.000528272,0.000528272
71,4838.12,1.50665,1.51308,1.3801,0.18795,0.24107,0.1057,0.04142,2.33241,2.59302,2.01225,0.000511769,0.000511769,0.000511769
72,4910.18,1.51183,1.56087,1.4254,0.21074,0.21429,0.10671,0.04187,2.34728,2.65207,2.03682,0.000495266,0.000495266,0.000495266
73,4982.37,1.42337,1.43613,1.38647,0.28583,0.16964,0.11303,0.04287,2.34574,2.61243,2.02086,0.000478762,0.000478762,0.000478762
74,5054.65,1.48288,1.50079,1.39602,0.16987,0.20238,0.12029,0.04448,2.38463,2.512,2.00644,0.000462259,0.000462259,0.000462259
75,5126.97,1.50471,1.44686,1.37565,0.23971,0.17857,0.12614,0.04422,2.39174,2.53225,2.00489,0.000445756,0.000445756,0.000445756
76,5198.68,1.50741,1.47553,1.36871,0.19122,0.21131,0.12361,0.04129,2.43118,2.5864,2.04692,0.000429253,0.000429253,0.000429253
77,5270.2,1.52747,1.45919,1.39986,0.224,0.18155,0.11401,0.04001,2.4265,2.61963,2.06459,0.000412749,0.000412749,0.000412749
78,5342.18,1.43225,1.41214,1.35091,0.20294,0.18317,0.10831,0.03935,2.38515,2.63927,2.05921,0.000396246,0.000396246,0.000396246
79,5414.4,1.4497,1.39416,1.33816,0.25389,0.14583,0.09784,0.03641,2.39333,2.65431,2.05419,0.000379743,0.000379743,0.000379743
80,5486.61,1.45604,1.39635,1.35526,0.1974,0.18452,0.10282,0.03866,2.42542,2.6314,2.07049,0.000363239,0.000363239,0.000363239
81,5559.01,1.44584,1.41075,1.35439,0.19709,0.24107,0.10384,0.03819,2.44817,2.58273,2.07319,0.000346736,0.000346736,0.000346736
82,5631.3,1.42772,1.29364,1.3098,0.21535,0.23214,0.10507,0.03718,2.4268,2.60184,2.06699,0.000330233,0.000330233,0.000330233
83,5703.38,1.4304,1.38969,1.34761,0.17989,0.21131,0.0965,0.03536,2.41865,2.69326,2.06484,0.000313729,0.000313729,0.000313729
84,5775.31,1.4036,1.30007,1.29468,0.16587,0.23512,0.09644,0.03469,2.43969,2.71041,2.08294,0.000297226,0.000297226,0.000297226
85,5847.25,1.42269,1.30896,1.35092,0.14441,0.20238,0.09789,0.03614,2.40676,2.69848,2.05498,0.000280723,0.000280723,0.000280723
86,5918.82,1.3894,1.39842,1.35281,0.15744,0.23673,0.10033,0.03476,2.42898,2.74282,2.06715,0.00026422,0.00026422,0.00026422
87,5990.78,1.38602,1.32766,1.30872,0.16871,0.24579,0.09831,0.03502,2.43083,2.76541,2.06867,0.000247716,0.000247716,0.000247716
